College,Height,Name,Number,Position,Team,Age,high salary,Salary,Weight
Northeastern,6-0,J.J. Barea,5,PG,Dallas Mavericks,31,High Salary,4290000,185
Western Kentucky,6-9,Jeremy Evans,21,SF,Dallas Mavericks,28,High Salary,1100602,200
North Carolina,6-1,Raymond Felton,2,PG,Dallas Mavericks,31,High Salary,3950313,205
Wisconsin,6-3,Devin Harris,34,PG,Dallas Mavericks,33,High Salary,4053446,185
Florida,6-9,David Lee,42,PF,Dallas Mavericks,33,High Salary,2085671,245
Marquette,6-5,Wesley Matthews,23,SG,Dallas Mavericks,29,High Salary,16407500,220
Nevada,7-0,JaVale McGee,11,C,Dallas Mavericks,28,High Salary,1270964,270
,7-2,Salah Mejri,50,C,Dallas Mavericks,29,High Salary,525093,245
,7-0,Dirk Nowitzki,41,PF,Dallas Mavericks,37,High Salary,8333334,245
,6-11,Zaza Pachulia,27,C,Dallas Mavericks,32,High Salary,5200000,275
Florida,6-10,Chandler Parsons,25,SF,Dallas Mavericks,27,High Salary,15361500,230
Stanford,6-11,Dwight Powell,7,PF,Dallas Mavericks,24,High Salary,845059,240
Connecticut,6-11,Charlie Villanueva,3,PF,Dallas Mavericks,31,High Salary,947276,232
Illinois,6-3,Deron Williams,8,PG,Dallas Mavericks,31,High Salary,5378974,200
UCLA,6-8,Trevor Ariza,1,SF,Houston Rockets,30,High Salary,8193030,215
Kansas State,6-10,Michael Beasley,8,SF,Houston Rockets,27,High Salary,306527,235
Arkansas,6-1,Patrick Beverley,2,PG,Houston Rockets,27,High Salary,6486486,185
Florida,6-9,Corey Brewer,33,SG,Houston Rockets,30,High Salary,8229375,186
,6-10,Clint Capela,15,PF,Houston Rockets,22,High Salary,1242720,240
Wisconsin,6-9,Sam Dekker,7,SF,Houston Rockets,22,High Salary,1646400,230
Charleston,6-3,Andrew Goudelock,0,PG,Houston Rockets,27,High Salary,200600,200
Arizona State,6-5,James Harden,13,SG,Houston Rockets,26,High Salary,15756438,220
Louisville,6-8,Montrezl Harrell,35,PF,Houston Rockets,22,High Salary,1000000,240
,6-11,Dwight Howard,12,C,Houston Rockets,30,High Salary,22359364,265
Kentucky,6-9,Terrence Jones,6,PF,Houston Rockets,24,High Salary,2489530,252
Clemson,6-6,K.J. McDaniels,32,SG,Houston Rockets,23,High Salary,3189794,205
,7-0,Donatas Motiejunas,20,PF,Houston Rockets,25,High Salary,2288205,222
,6-9,Josh Smith,5,C,Houston Rockets,30,High Salary,947276,225
Arizona,6-2,Jason Terry,31,SG,Houston Rockets,38,High Salary,947276,185
UCLA,6-5,Jordan Adams,3,SG,Memphis Grizzlies,21,High Salary,1404600,209
Oklahoma State,6-4,Tony Allen,9,SG,Memphis Grizzlies,34,High Salary,5158539,213
Blinn College,6-10,Chris Andersen,7,PF,Memphis Grizzlies,37,High Salary,5000000,245
UCLA,6-7,Matt Barnes,22,SF,Memphis Grizzlies,36,High Salary,3542500,226
North Carolina,6-6,Vince Carter,15,SG,Memphis Grizzlies,39,High Salary,4088019,220
Ohio State,6-1,Mike Conley,11,PG,Memphis Grizzlies,28,High Salary,9588426,175
Providence,6-1,Bryce Cotton,8,PG,Memphis Grizzlies,23,High Salary,700902,165
UCLA,6-2,Jordan Farmar,4,PG,Memphis Grizzlies,29,LOW SALARY,,180
,7-1,Marc Gasol,33,C,Memphis Grizzlies,31,High Salary,19688000,255
Alabama,6-9,JaMychal Green,0,PF,Memphis Grizzlies,25,High Salary,845059,227
North Carolina,6-6,P.J. Hairston,19,SF,Memphis Grizzlies,23,High Salary,1201440,230
LSU,6-10,Jarell Martin,10,PF,Memphis Grizzlies,22,High Salary,1230840,239
Detroit,6-3,Ray McCallum,5,PG,Memphis Grizzlies,24,LOW SALARY,,190
Rhode Island,6-3,Xavier Munford,14,PG,Memphis Grizzlies,24,LOW SALARY,,180
Michigan State,6-9,Zach Randolph,50,PF,Memphis Grizzlies,34,High Salary,9638555,260
Cincinnati,6-5,Lance Stephenson,1,SF,Memphis Grizzlies,25,High Salary,9000000,230
USC,6-10,Alex Stepheson,35,PF,Memphis Grizzlies,28,LOW SALARY,,270
North Carolina,6-10,Brandan Wright,34,PF,Memphis Grizzlies,28,High Salary,5464000,210
,7-2,Alexis Ajinca,42,C,New Orleans Pelicans,28,High Salary,4389607,248
California,6-10,Ryan Anderson,33,PF,New Orleans Pelicans,28,High Salary,8500000,240
,7-0,Omer Asik,3,C,New Orleans Pelicans,29,High Salary,9213483,255
Nevada,6-9,Luke Babbitt,8,SF,New Orleans Pelicans,26,High Salary,1100602,225
Cleveland State,6-2,Norris Cole,30,PG,New Orleans Pelicans,27,High Salary,3036927,175
Villanova,6-8,Dante Cunningham,44,PF,New Orleans Pelicans,29,High Salary,2850000,230
Kentucky,6-10,Anthony Davis,23,PF,New Orleans Pelicans,23,High Salary,7070730,253
Iowa State,6-6,Bryce Dejean-Jones,31,SG,New Orleans Pelicans,23,High Salary,169883,203
Florida State,6-2,Toney Douglas,16,PG,New Orleans Pelicans,30,High Salary,1164858,195
Long Beach State,6-7,James Ennis,4,SF,New Orleans Pelicans,25,High Salary,845059,210
Memphis,6-6,Tyreke Evans,1,SG,New Orleans Pelicans,26,High Salary,10734586,220
Penn State,6-1,Tim Frazier,2,PG,New Orleans Pelicans,25,High Salary,845059,170
Alabama,6-6,Alonzo Gee,15,SF,New Orleans Pelicans,29,High Salary,1320000,225
Indiana,6-4,Eric Gordon,10,SG,New Orleans Pelicans,27,High Salary,15514031,215
Texas,6-7,Jordan Hamilton,25,SG,New Orleans Pelicans,25,High Salary,1015421,220
UCLA,6-4,Jrue Holiday,11,PG,New Orleans Pelicans,25,High Salary,10595507,205
UC Santa Barbara,6-5,Orlando Johnson,0,SG,New Orleans Pelicans,27,LOW SALARY,55722,220
,6-10,Kendrick Perkins,5,C,New Orleans Pelicans,31,High Salary,947276,270
Washington,6-7,Quincy Pondexter,20,SF,New Orleans Pelicans,28,High Salary,3382023,220
Texas,6-11,LaMarcus Aldridge,12,PF,San Antonio Spurs,30,High Salary,19689000,240
UCLA,6-9,Kyle Anderson,1,SF,San Antonio Spurs,22,High Salary,1142880,230
Florida,6-10,Matt Bonner,15,C,San Antonio Spurs,36,High Salary,947276,235
,6-8,Boris Diaw,33,C,San Antonio Spurs,34,High Salary,7500000,250
Wake Forest,6-11,Tim Duncan,21,C,San Antonio Spurs,40,High Salary,5250000,250
,6-6,Manu Ginobili,20,SG,San Antonio Spurs,38,High Salary,2814000,205
North Carolina,6-6,Danny Green,14,SG,San Antonio Spurs,28,High Salary,10000000,215
San Diego State,6-7,Kawhi Leonard,2,SF,San Antonio Spurs,24,High Salary,16407500,230
,7-3,Boban Marjanovic,40,C,San Antonio Spurs,27,High Salary,1200000,290
Western Carolina,6-7,Kevin Martin,23,SG,San Antonio Spurs,33,High Salary,200600,199
Utah,6-3,Andre Miller,24,PG,San Antonio Spurs,40,High Salary,250750,200
Saint Mary's,6-0,Patty Mills,8,PG,San Antonio Spurs,27,High Salary,3578947,185
,6-2,Tony Parker,9,PG,San Antonio Spurs,34,High Salary,13437500,185
Houston,6-6,Jonathon Simmons,17,SG,San Antonio Spurs,26,High Salary,525093,195
Xavier,6-9,David West,30,PF,San Antonio Spurs,35,High Salary,1499187,250
Old Dominion,6-5,Kent Bazemore,24,SF,Atlanta Hawks,26,High Salary,2000000,201
Michigan,6-6,Tim Hardaway Jr.,10,SG,Atlanta Hawks,24,High Salary,1304520,205
Kansas,6-4,Kirk Hinrich,12,SG,Atlanta Hawks,35,High Salary,2854940,190
Florida,6-10,Al Horford,15,C,Atlanta Hawks,30,High Salary,12000000,245
Minnesota,6-9,Kris Humphries,43,PF,Atlanta Hawks,31,High Salary,1000000,235
Creighton,6-7,Kyle Korver,26,SG,Atlanta Hawks,35,High Salary,5746479,212
Louisiana Tech,6-8,Paul Millsap,4,PF,Atlanta Hawks,31,High Salary,18671659,246
Bucknell,6-11,Mike Muscala,31,PF,Atlanta Hawks,24,High Salary,947276,240
Pittsburgh,6-5,Lamar Patterson,13,SG,Atlanta Hawks,24,High Salary,525093,225
,6-1,Dennis Schroder,17,PG,Atlanta Hawks,22,High Salary,1763400,172
Virginia,6-8,Mike Scott,32,PF,Atlanta Hawks,27,High Salary,3333333,237
,6-7,Thabo Sefolosha,25,SF,Atlanta Hawks,32,High Salary,4000000,220
,6-11,Tiago Splitter,11,C,Atlanta Hawks,31,High Salary,9756250,245
,7-3,Walter Tavares,22,C,Atlanta Hawks,24,High Salary,1000000,260
Wake Forest,6-2,Jeff Teague,0,PG,Atlanta Hawks,27,High Salary,8000000,186
,6-8,Nicolas Batum,5,SG,Charlotte Hornets,27,High Salary,13125306,200
Virginia Commonwealth,6-4,Troy Daniels,30,SG,Charlotte Hornets,24,High Salary,947276,205
California,6-3,Jorge Gutierrez,12,PG,Charlotte Hornets,27,High Salary,189455,189
North Carolina,6-9,Tyler Hansbrough,50,PF,Charlotte Hornets,30,High Salary,947276,250
Kentucky,6-6,Aaron Harrison,9,SG,Charlotte Hornets,21,High Salary,525093,210
Washington,7-1,Spencer Hawes,0,PF,Charlotte Hornets,28,High Salary,6110034,245
,6-10,Al Jefferson,25,C,Charlotte Hornets,31,High Salary,13500000,289
Wisconsin,7-0,Frank Kaminsky III,44,C,Charlotte Hornets,23,High Salary,2612520,240
Kentucky,6-7,Michael Kidd-Gilchrist,14,SF,Charlotte Hornets,22,High Salary,6331404,232
Connecticut,6-5,Jeremy Lamb,3,SG,Charlotte Hornets,24,High Salary,3034356,185
Western Kentucky,6-5,Courtney Lee,1,SG,Charlotte Hornets,30,High Salary,5675000,200
Harvard,6-3,Jeremy Lin,7,PG,Charlotte Hornets,27,High Salary,2139000,200
Connecticut,6-1,Kemba Walker,15,PG,Charlotte Hornets,26,High Salary,12000000,184
North Carolina,6-9,Marvin Williams,2,PF,Charlotte Hornets,29,High Salary,7000000,237
Indiana,7-0,Cody Zeller,40,C,Charlotte Hornets,23,High Salary,4204200,240
Georgia Tech,6-11,Chris Bosh,1,PF,Miami Heat,32,High Salary,22192730,235
Duke,6-9,Luol Deng,9,SF,Miami Heat,31,High Salary,10151612,220
,6-3,Goran Dragic,7,PG,Miami Heat,30,High Salary,14783000,190
,6-7,Gerald Green,14,SF,Miami Heat,30,High Salary,947276,205
Florida,6-8,Udonis Haslem,40,PF,Miami Heat,36,High Salary,2854940,235
Arkansas,6-7,Joe Johnson,2,SF,Miami Heat,34,High Salary,261894,240
Fresno State,6-4,Tyler Johnson,8,SG,Miami Heat,24,High Salary,845059,186
Duke,6-10,Josh McRoberts,4,PF,Miami Heat,29,High Salary,5543725,240
Tennessee,6-6,Josh Richardson,0,SG,Miami Heat,22,High Salary,525093,200
,6-10,Amar'e Stoudemire,5,PF,Miami Heat,33,High Salary,947276,245
Marquette,6-4,Dwyane Wade,3,SG,Miami Heat,34,High Salary,20000000,220
Virginia Commonwealth,6-2,Briante Weber,12,PG,Miami Heat,23,LOW SALARY,,165
Marshall,7-0,Hassan Whiteside,21,C,Miami Heat,26,High Salary,981348,265
Duke,6-7,Justise Winslow,20,SF,Miami Heat,20,High Salary,2481720,225
,6-9,Dorell Wright,11,SF,Miami Heat,30,LOW SALARY,,205
USC,7-0,Dewayne Dedmon,3,C,Orlando Magic,26,High Salary,947276,245
,6-7,Evan Fournier,10,SG,Orlando Magic,23,High Salary,2288205,205
Arizona,6-9,Aaron Gordon,0,PF,Orlando Magic,20,High Salary,4171680,220
,6-8,Mario Hezonja,23,SG,Orlando Magic,21,High Salary,3741480,218
,6-10,Ersan Ilyasova,7,PF,Orlando Magic,29,High Salary,7900000,235
,6-1,Brandon Jennings,55,PG,Orlando Magic,26,High Salary,8344497,169
Iowa,6-6,Devyn Marble,11,SF,Orlando Magic,23,High Salary,845059,200
Connecticut,6-1,Shabazz Napier,13,PG,Orlando Magic,24,High Salary,1294440,175
St. Bonaventure,6-9,Andrew Nicholson,44,PF,Orlando Magic,26,High Salary,2380593,250
Indiana,6-4,Victor Oladipo,5,SG,Orlando Magic,24,High Salary,5192520,210
Louisiana-Lafayette,6-4,Elfrid Payton,4,PG,Orlando Magic,22,High Salary,2505720,185
Colorado State,7-0,Jason Smith,14,PF,Orlando Magic,30,High Salary,4300000,240
USC,7-0,Nikola Vucevic,9,C,Orlando Magic,25,High Salary,11250000,260
Tennessee,6-2,C.J. Watson,32,PG,Orlando Magic,32,High Salary,5000000,175
Michigan State,6-6,Alan Anderson,6,SG,Washington Wizards,33,High Salary,4000000,220
Florida,6-5,Bradley Beal,3,SG,Washington Wizards,22,High Salary,5694674,207
Boston College,6-7,Jared Dudley,1,SF,Washington Wizards,30,High Salary,4375000,225
Virginia Tech,6-7,Jarell Eddie,8,SG,Washington Wizards,24,High Salary,561716,218
Kansas,6-10,Drew Gooden,90,PF,Washington Wizards,34,High Salary,3300000,250
,6-11,Marcin Gortat,13,C,Washington Wizards,32,High Salary,11217391,240
North Carolina State,6-9,JJ Hickson,21,C,Washington Wizards,27,High Salary,273038,242
,6-11,Nene Hilario,42,C,Washington Wizards,33,High Salary,13000000,250
Kansas,6-10,Markieff Morris,5,PF,Washington Wizards,26,High Salary,8000000,245
Kansas,6-7,Kelly Oubre Jr.,12,SF,Washington Wizards,20,High Salary,1920240,205
Georgetown,6-8,Otto Porter Jr.,22,SF,Washington Wizards,23,High Salary,4662960,198
Nevada,6-3,Ramon Sessions,7,PG,Washington Wizards,30,High Salary,2170465,190
LSU,6-6,Garrett Temple,17,SG,Washington Wizards,30,High Salary,1100602,195
LSU,6-4,Marcus Thornton,15,SF,Washington Wizards,29,High Salary,200600,205
Kentucky,6-4,John Wall,2,PG,Washington Wizards,25,High Salary,15851950,195
Kansas,6-9,Darrell Arthur,0,PF,Denver Nuggets,28,High Salary,2814000,235
Texas,6-0,D.J. Augustin,12,PG,Denver Nuggets,28,High Salary,3000000,183
Memphis,6-6,Will Barton,5,SF,Denver Nuggets,25,High Salary,3533333,175
DePaul,6-8,Wilson Chandler,21,SF,Denver Nuggets,29,High Salary,10449438,225
Morehead State,6-8,Kenneth Faried,35,PF,Denver Nuggets,26,High Salary,11235955,228
,6-10,Danilo Gallinari,8,SF,Denver Nuggets,27,High Salary,14000000,225
Michigan State,6-4,Gary Harris,14,SG,Denver Nuggets,21,High Salary,1584480,210
,6-10,Nikola Jokic,15,C,Denver Nuggets,21,High Salary,1300000,250
,6-11,Joffrey Lauvergne,77,C,Denver Nuggets,24,High Salary,1709719,220
Florida,6-8,Mike Miller,3,SG,Denver Nuggets,36,High Salary,947276,218
,6-5,Emmanuel Mudiay,0,PG,Denver Nuggets,20,High Salary,3102240,200
Saint Joseph's,6-0,Jameer Nelson,1,PG,Denver Nuggets,34,High Salary,4345000,190
,7-0,Jusuf Nurkic,23,C,Denver Nuggets,21,High Salary,1842000,280
St. John's,6-9,JaKarr Sampson,9,SG,Denver Nuggets,23,High Salary,258489,214
,6-7,Axel Toupane,6,SG,Denver Nuggets,23,LOW SALARY,,210
,6-10,Nemanja Bjelica,88,PF,Minnesota Timberwolves,28,High Salary,3950001,240
Louisville,6-11,Gorgui Dieng,5,C,Minnesota Timberwolves,26,High Salary,1474440,241
,6-11,Kevin Garnett,21,PF,Minnesota Timberwolves,40,High Salary,8500000,240
Duke,6-2,Tyus Jones,1,PG,Minnesota Timberwolves,20,High Salary,1282080,195
UCLA,6-5,Zach LaVine,8,PG,Minnesota Timberwolves,21,High Salary,2148360,189
UCLA,6-6,Shabazz Muhammad,15,SF,Minnesota Timberwolves,23,High Salary,2056920,223
Michigan State,6-10,Adreian Payne,33,PF,Minnesota Timberwolves,25,High Salary,1938840,237
,6-11,Nikola Pekovic,14,C,Minnesota Timberwolves,30,High Salary,12100000,307
Kentucky,6-9,Tayshaun Prince,12,SF,Minnesota Timberwolves,36,High Salary,947276,212
,6-4,Ricky Rubio,9,PG,Minnesota Timberwolves,25,High Salary,12700000,194
,6-9,Damjan Rudez,10,SF,Minnesota Timberwolves,29,High Salary,1149500,230
Fresno State,6-10,Greg Smith,4,PF,Minnesota Timberwolves,25,LOW SALARY,,250
Kentucky,7-0,Karl-Anthony Towns,32,C,Minnesota Timberwolves,20,High Salary,5703600,244
Kansas,6-8,Andrew Wiggins,22,SG,Minnesota Timberwolves,21,High Salary,5758680,199
Pittsburgh,7-0,Steven Adams,12,C,Oklahoma City Thunder,22,High Salary,2279040,255
Kansas,6-10,Nick Collison,4,PF,Oklahoma City Thunder,35,High Salary,3750000,255
Texas,6-9,Kevin Durant,35,SF,Oklahoma City Thunder,27,High Salary,20158622,240
Villanova,6-4,Randy Foye,6,SG,Oklahoma City Thunder,32,High Salary,3135000,213
Stanford,6-7,Josh Huestis,34,SF,Oklahoma City Thunder,24,High Salary,1140240,230
,6-10,Serge Ibaka,9,PF,Oklahoma City Thunder,26,High Salary,12250000,245
Kentucky,6-11,Enes Kanter,11,C,Oklahoma City Thunder,24,High Salary,16407500,245
Michigan,6-10,Mitch McGary,33,PF,Oklahoma City Thunder,24,High Salary,1463040,255
Kentucky,6-10,Nazr Mohammed,13,C,Oklahoma City Thunder,38,High Salary,222888,250
Georgia Tech,6-5,Anthony Morrow,2,SG,Oklahoma City Thunder,30,High Salary,3344000,210
Murray State,6-3,Cameron Payne,22,PG,Oklahoma City Thunder,21,High Salary,2021520,185
Colorado,6-7,Andre Roberson,21,SG,Oklahoma City Thunder,24,High Salary,1210800,210
Duke,6-8,Kyle Singler,5,SF,Oklahoma City Thunder,28,High Salary,4500000,228
Syracuse,6-4,Dion Waiters,3,SG,Oklahoma City Thunder,24,High Salary,5138430,220
UCLA,6-3,Russell Westbrook,0,PG,Oklahoma City Thunder,27,High Salary,16744218,200
Kansas,6-8,Cliff Alexander,34,PF,Portland Trail Blazers,20,High Salary,525093,240
Wake Forest,6-9,Al-Farouq Aminu,8,SF,Portland Trail Blazers,25,High Salary,8042895,215
Notre Dame,6-5,Pat Connaughton,5,SG,Portland Trail Blazers,23,High Salary,625093,206
California,6-6,Allen Crabbe,23,SG,Portland Trail Blazers,24,High Salary,947276,210
North Carolina,6-10,Ed Davis,17,C,Portland Trail Blazers,27,High Salary,6980802,240
St. John's,6-9,Maurice Harkless,4,SF,Portland Trail Blazers,23,High Salary,2894059,215
Duke,6-5,Gerald Henderson,9,SG,Portland Trail Blazers,28,High Salary,6000000,215
Central Michigan,7-0,Chris Kaman,35,C,Portland Trail Blazers,34,High Salary,5016000,265
Illinois,7-1,Meyers Leonard,11,PF,Portland Trail Blazers,24,High Salary,3075880,245
Weber State,6-3,Damian Lillard,0,PG,Portland Trail Blazers,25,High Salary,4236287,195
Lehigh,6-4,C.J. McCollum,3,SG,Portland Trail Blazers,24,High Salary,2525160,200
Westchester CC,6-7,Luis Montero,44,SG,Portland Trail Blazers,23,High Salary,525093,185
Duke,6-11,Mason Plumlee,24,C,Portland Trail Blazers,26,High Salary,1415520,235
Dayton,6-1,Brian Roberts,2,PG,Portland Trail Blazers,30,High Salary,2854940,173
Indiana,6-9,Noah Vonleh,21,PF,Portland Trail Blazers,20,High Salary,2637720,240
Clemson,6-8,Trevor Booker,33,PF,Utah Jazz,28,High Salary,4775000,228
Michigan,6-1,Trey Burke,3,PG,Utah Jazz,23,High Salary,2658240,191
Colorado,6-6,Alec Burks,10,SG,Utah Jazz,24,High Salary,9463484,214
,6-6,Dante Exum,11,PG,Utah Jazz,20,High Salary,3777720,190
Georgia Tech,6-10,Derrick Favors,15,PF,Utah Jazz,24,High Salary,12000000,265
,7-1,Rudy Gobert,27,C,Utah Jazz,23,High Salary,1175880,245
Butler,6-8,Gordon Hayward,20,SF,Utah Jazz,26,High Salary,15409570,226
Duke,6-8,Rodney Hood,5,SG,Utah Jazz,23,High Salary,1348440,206
,6-8,Joe Ingles,2,SF,Utah Jazz,28,High Salary,2050000,226
Dayton,6-6,Chris Johnson,23,SF,Utah Jazz,26,High Salary,981348,206
Kentucky,6-10,Trey Lyles,41,PF,Utah Jazz,20,High Salary,2239800,234
Butler,6-3,Shelvin Mack,8,PG,Utah Jazz,26,High Salary,2433333,203
,6-1,Raul Neto,25,PG,Utah Jazz,24,High Salary,900000,179
,7-3,Tibor Pleiss,21,C,Utah Jazz,26,High Salary,2900000,256
Kansas,7-0,Jeff Withey,24,C,Utah Jazz,26,High Salary,947276,231
,,,,,,,LOW SALARY,,
